ensembl_gene_id	x1	x2	sd1	sd2	FC	deltaGE	deltaGEZ	geneMeanGE	geneMedianGE	ks.pvalue	wilcox.pvalue	fligner.pvalue	nMutated
ENSG00000187634	5.3301134675	1.353869229335	4.65813128878862	7.27463977018941	3.93694852649696	3.976244238165	0.560731381858961	4.65139318287923	1.46398877251	0.179085661045841	0.20861520593346	0.381053202199175	7
ENSG00000187961	2.59652486693	2.144238002055	1.58014961463653	1.40527623933241	1.21093127928968	0.452286864875	0.315632265559962	2.43073015569857	2.24834038706	0.336825622612549	0.371731607461478	0.17096769250132	15
ENSG00000187583	1.4775944503965	1.11370635755	0.774931857581689	1.78197445765538	1.32673611888775	0.3638880928465	0.206304985293643	1.68788630292962	1.11370635755	0.827374872318693	0.708624058443922	0.793936011496383	2
ENSG00000242590	0	0	0	0	NA	0	NA	0	0	1	NA	NA	2
ENSG00000224051	13.032861425375	16.1371705179	6.78243499000142	10.6633272882524	0.80762990085024	-3.104309092525	-0.294462156463668	18.4976650251707	16.1371705179	0.719686798879108	0.346889291161608	0.418062653101301	4
ENSG00000160072	3.48319016286	4.2988145296	1.73995215251995	3.84479669962349	0.810267607238246	-0.81562436674	-0.217702037566182	5.37659049034067	4.24753969109	0.294818907096732	0.3108087906234	0.0943679729293232	7
ENSG00000197785	9.85906027894	11.9700620764	6.03282684388964	8.9998497284981	0.823643203854221	-2.11100179746	-0.23929028270776	14.5394496332211	11.6251309242	0.155344409846322	0.318140982413314	0.130127155375108	7
ENSG00000197530	7.43942286577	6.378946455255	1.56681905133677	3.65884018608398	1.1662463257771	1.060476410515	0.294163160083269	6.9262759220018	6.41142218342	0.598420274030502	0.44632244948359	0.269665936702228	3
ENSG00000067606	2.8190330961	3.276960319885	1.18985650409633	1.68676065044817	0.860258538681033	-0.457927223785	-0.276724565854381	3.41817741459108	3.04142127571	0.474078062976266	0.517151550512613	0.138682606774103	7
ENSG00000157933	11.646723065	13.2938359457	2.23934630598242	11.4115591060995	0.876099503000654	-1.6471128807	-0.147179083909537	16.8709773363231	13.0674426535	0.134832303892376	0.273178962327171	0.0213827933835708	5
ENSG00000269753	0.04356668301385	0.223789401656	0.0616125939857962	0.357870737231077	0.194677150443518	-0.18022271864215	-0.505604427722468	0.325858757627901	0.213656764228	0.256826576938601	0.0994632472246696	0.130070636956791	2
ENSG00000157916	34.27698626185	25.2605150226	9.82204456573826	10.4411136881667	1.35693932729333	9.01647123925	0.863528021542419	26.5502256371528	25.2667605882	0.237487231869255	0.198022866674055	0.720287670606879	2
ENSG00000149527	0.272927847912	0.211872990791	0.944605625983406	1.04881501085672	1.28816725007307	0.061054857121	0.0589233310652015	0.578869792323123	0.221822469703	0.845141555100474	0.848907563064155	0.349517751447988	7
ENSG00000157873	6.76244286177	6.591583973745	8.62648241311761	7.18661430248722	1.02592076331054	0.170858888025001	0.0234394921184731	8.46527154254004	6.60797696335	0.89945134473992	0.864928776922565	0.563278174547784	9
ENSG00000235054	0.00125022175777	0	0.00176808056581226	0.0737522797359738	Inf	0.00125022175777	0.0171333598888825	0.0207201362530987	0	0.909708157828996	0.791072382229995	0.90126178044304	2
ENSG00000069424	2.22211963189	2.3313399931	0.192541248001526	1.85844356434655	0.953151251411954	-0.10922036121	-0.0593985340999744	2.70156832363553	2.3313399931	0.591419816138917	0.90086538932065	0.0851960971184693	2
ENSG00000204859	4.61236972423	5.31956062463	2.53283639529388	3.99768459051958	0.867058400063034	-0.707190900400001	-0.179071524326169	6.45898641015787	5.28883577913	0.770173646578141	0.829015127797674	0.555183518719909	3
ENSG00000228750	0	0	0.0104822632827288	0.0327489578674498	NA	0	0	0.00964815928170584	0	0.999190304604027	0.910202968437979	0.931805495467299	3
ENSG00000171735	7.505866063575	4.50924588116	0.920345692435956	2.55815281909267	1.66455018452977	2.996620182415	1.17536424861523	5.48989159060292	4.5540328853	0.0145788093672002	0.0423766225033011	0.12739721013386	4
ENSG00000049246	4.18134777856	3.358893362035	4.27804054311135	2.74906410857223	1.24485874598493	0.822454416525	0.292834390142125	3.95253115266433	3.36046222382	0.414770525870875	0.280220396494064	0.990814622572791	3
ENSG00000252254	0.202668732026	0	0.0266307926723617	0.234982658973769	Inf	0.202668732026	0.870734559205756	0.108677658389318	0	0.127447602936124	0.0612438169620142	0.90126178044304	2
ENSG00000173614	3.46017232507	2.61254121058	1.5683149815269	1.5044061536256	1.32444698328867	0.84763111449	0.560908827357548	2.96369510542272	2.75574997038	0.421637728997082	0.255834764747983	0.918514989879696	9
ENSG00000130939	9.32924391735	8.16131225554	8.4445200537933	3.6708048632008	1.14310586646372	1.16793166181	0.277865779248464	8.99075744485427	8.46441738662	0.823418120892371	0.686296212119108	0.962266875776656	7
ENSG00000054523	5.17305011515	5.67843416599	3.05206561546212	3.05133871693548	0.91099939947056	-0.50538405084	-0.166567583830606	6.03549937579584	5.59790366528	0.780330282312833	0.893694669323233	0.626188516406281	5
ENSG00000142655	9.183242297375	10.6967292932	1.47585993060529	3.84374869020539	0.858509367271065	-1.513486995825	-0.400268609987678	10.7689144863983	10.557651235	0.177549714821189	0.399997660666238	0.12664982763885	4
ENSG00000120948	37.07754136265	42.172015364	9.96659812693132	13.6973938950619	0.879197758101481	-5.09447400135	-0.375811594182444	42.570003365009	42.172015364	0.79188131187987	0.457717434427446	0.666034775507964	4
ENSG00000132879	11.567556093815	8.77360663431	5.42244404381332	5.15290194243947	1.31844936477765	2.793949459505	0.544345159762171	9.94321241687854	8.77360663431	0.85291113381001	0.533388947519626	0.68064016711792	2
